respondent_id,survey_language,participated_2025,gender,age_group,experience_group,specialization,grade,current_industry,city,employer_preference,main_decision_source,survey_score,ready_for_followup
259,rus,Нет,Мужчина,37 - 41,Более 20 лет,DevOps | Системное администрирование,C-level,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Рейтинги",4,Нет
260,rus,Нет,Мужчина,22 - 26,3 - 6,Аналитика (бизнес аналитик / системный аналитик),Senior,ИТ продуктовая компания,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Да
261,rus,Нет,Мужчина,37 - 41,15 - 19,ИТ безопасность,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только казахстанская компания,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
262,rus,Нет,Мужчина,22 - 26,Менее 2 лет,ИТ безопасность,Junior,Другое,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
263,rus,Да,Мужчина,32 - 36,7 - 10,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),Senior,ИТ продуктовая компания,Астана,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
264,rus,Да,Мужчина,22 - 26,3 - 6,Backend разработка,Team Lead,ИТ продуктовая компания,Алматы,Не вижу разницы,"Личный бренд основателя или руководителя компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
265,rus,Нет,Мужчина,Старше 46,Более 20 лет,ИТ безопасность,Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
266,rus,Нет,Мужчина,Старше 46,Более 20 лет,ИТ безопасность,Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Нет
267,rus,Нет,Мужчина,37 - 41,15 - 19,ИТ безопасность,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
268,rus,Нет,Мужчина,Старше 46,7 - 10,Проектный менеджмент,C-level (CEO + CEO-1),Телекоммуникации,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Другое: Состав оффера",5,Нет
269,rus,Да,Мужчина,Старше 46,Более 20 лет,DBA | администратор базы данных,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Да
270,kaz,Нет,Женщина,22 - 26,3 - 6,Аналитика (бизнес аналитик / системный аналитик),Middle,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только казахстанская компания,"Реклама компании на профессиональных мероприятиях и митапах, Официальный сайт компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
271,rus,Нет,Женщина,32 - 36,7 - 10,Backend разработка,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Официальный сайт компании, Личный бренд основателя или руководителя компании",4,Нет
272,rus,Нет,Женщина,42 - 46,Более 20 лет,Аналитика (бизнес аналитик / системный аналитик),Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Да
273,rus,Нет,Мужчина,37 - 41,15 - 19,ИТ безопасность,Senior,Другое,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Реклама компании на профессиональных мероприятиях и митапах",5,Нет
274,rus,Нет,Мужчина,Младше 21,3 - 6,Backend разработка,Middle,Финансовый сектор (банк / брокер / страховая компания),Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
275,rus,Нет,Мужчина,22 - 26,Менее 2 лет,ИТ безопасность,Middle,ИТ продуктовая компания,Астана,Только казахстанская компания,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании",1,-
276,rus,Нет,Женщина,32 - 36,3 - 6,Data Science | Аналитик данных,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Впечатление от общения с HR или ИТ-рекрутером компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
277,rus,Нет,Мужчина,32 - 36,3 - 6,ИТ безопасность,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
278,rus,Нет,Мужчина,32 - 36,7 - 10,ИТ безопасность,Middle,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Нет
279,rus,Нет,Женщина,22 - 26,Менее 2 лет,ИТ архитектура,Junior,Fintech,Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Нет
280,rus,Нет,Мужчина,22 - 26,3 - 6,DevOps | Системное администрирование,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
281,rus,Нет,Мужчина,32 - 36,11 - 14,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level,Телекоммуникации,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Нет
282,rus,Нет,Мужчина,32 - 36,7 - 10,ИТ безопасность,Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только казахстанская компания,"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Да
283,rus,Да,Женщина,32 - 36,11 - 14,ИТ архитектура,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Да
284,rus,Нет,Женщина,27 - 31,3 - 6,HR | ИТ подбор,Team Lead,Телекоммуникации,Астана,Только казахстанская компания,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
285,rus,Нет,Женщина,32 - 36,3 - 6,HR | ИТ подбор,Team Lead,Телекоммуникации,Астана,Не вижу разницы,"Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
286,rus,Нет,Мужчина,32 - 36,7 - 10,DevOps | Системное администрирование,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только иностранная компания (в Казахстане),Личный опыт использования цифрового продукта или услуги компании,3,Нет
287,rus,Нет,Женщина,32 - 36,7 - 10,Маркетинг | SMM | SEO,Team Lead,Другое,Астана,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Впечатление от общения с HR или ИТ-рекрутером компании, Официальный сайт компании",3,Нет
288,rus,Нет,Мужчина,22 - 26,Менее 2 лет,ИТ безопасность,Junior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только иностранная компания (в Казахстане),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Впечатление от общения с HR или ИТ-рекрутером компании",4,Нет
289,rus,Нет,Женщина,42 - 46,15 - 19,ИТ безопасность,Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только казахстанская компания,"Личный опыт использования цифрового продукта или услуги компании, Рейтинги",5,Нет
290,rus,Нет,Мужчина,37 - 41,15 - 19,DevOps | Системное администрирование,Middle,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании, Личный опыт использования цифрового продукта или услуги компании",4,Нет
291,rus,Нет,Мужчина,Младше 21,Менее 2 лет,ИТ безопасность,Junior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
292,rus,Нет,Мужчина,22 - 26,3 - 6,Backend разработка,Senior,ИТ продуктовая компания,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",2,-
293,rus,Нет,Мужчина,42 - 46,15 - 19,DBA | администратор базы данных,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",4,Нет
294,rus,Да,Женщина,27 - 31,3 - 6,HR | ИТ подбор,C-level,Разработка ПО | IT Outsourcing,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
295,rus,Да,Мужчина,27 - 31,3 - 6,Продакт менеджмент,Team Lead,E-commerce | Логистика,Алматы,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Официальный сайт компании, Рейтинги",5,Да
296,rus,Нет,Женщина,22 - 26,3 - 6,Backend разработка,Middle,Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",1,-
297,rus,Да,Мужчина,22 - 26,Менее 2 лет,DevOps | Системное администрирование,Junior,Разработка ПО | IT Outsourcing,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Рейтинги",4,Нет
298,rus,Нет,Мужчина,27 - 31,Менее 2 лет,Data Science | Аналитик данных,Senior,Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании",4,Нет
299,rus,Нет,Женщина,42 - 46,3 - 6,HR | ИТ подбор,Middle,Телекоммуникации,Астана,Только казахстанская компания,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Да
300,rus,Да,Женщина,32 - 36,3 - 6,Проектный менеджмент,Senior,Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",3,Да
301,rus,Нет,Женщина,42 - 46,15 - 19,Проектный менеджмент,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Личный бренд основателя или руководителя компании",4,Да
302,rus,Нет,Женщина,42 - 46,15 - 19,Аналитика (бизнес аналитик / системный аналитик),Tribe Leader,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только казахстанская компания,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании",4,Нет
303,rus,Нет,Мужчина,37 - 41,15 - 19,Аналитика (бизнес аналитик / системный аналитик),Team Lead,ИТ продуктовая компания,Алматы,Не вижу разницы,Рекомендации и отзывы сотрудников (нынешних или бывших),1,-
304,rus,Да,Мужчина,22 - 26,Менее 2 лет,Web-design | UX/UI,Middle,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
305,rus,Нет,Женщина,27 - 31,3 - 6,DBA | администратор базы данных,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Нет
306,kaz,Нет,Мужчина,32 - 36,11 - 14,Data Science | Аналитик данных,Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании, Рейтинги",3,Да
307,rus,Нет,Мужчина,32 - 36,15 - 19,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level,Образование / EdTech,Астана,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Личный опыт использования цифрового продукта или услуги компании",3,Нет
308,rus,Нет,Женщина,37 - 41,Менее 2 лет,Маркетинг | SMM | SEO,C-level,Телекоммуникации,Астана,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
309,rus,Нет,Мужчина,32 - 36,3 - 6,QA тестирование,Middle,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
310,rus,Нет,Мужчина,37 - 41,15 - 19,Data Science | Аналитик данных,C-level,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Рейтинги",5,Нет
311,rus,Да,Мужчина,32 - 36,7 - 10,Backend разработка,Senior,Финансовый сектор (банк / брокер / страховая компания),Актобе,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.)",4,Нет
312,rus,Нет,Мужчина,37 - 41,7 - 10,Аналитика (бизнес аналитик / системный аналитик),Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только иностранная компания (в Казахстане),"Личный опыт использования цифрового продукта или услуги компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Рейтинги",5,Нет
313,rus,Нет,Женщина,22 - 26,Менее 2 лет,Backend разработка,Junior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.)",5,Нет
314,rus,Да,Женщина,32 - 36,3 - 6,Маркетинг | SMM | SEO,Team Lead,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Официальный сайт компании, Личный опыт использования цифрового продукта или услуги компании",1,-
315,rus,Да,Мужчина,27 - 31,7 - 10,Data Science | Аналитик данных,C-level,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",4,Нет
316,rus,Нет,Женщина,32 - 36,3 - 6,ИТ безопасность,Senior,Другое,Алматы,Только казахстанская компания,Рекомендации и отзывы сотрудников (нынешних или бывших),5,Нет
317,rus,Нет,Мужчина,32 - 36,7 - 10,Продакт менеджмент,Team Lead,Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
318,rus,Нет,Мужчина,37 - 41,Более 20 лет,ИТ архитектура,Senior,Телекоммуникации,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги, Личный опыт использования цифрового продукта или услуги компании",5,Да
319,rus,Нет,Мужчина,32 - 36,Менее 2 лет,Data Science | Аналитик данных,Junior,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Нет
320,rus,Нет,Мужчина,37 - 41,11 - 14,Data Science | Аналитик данных,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании",4,Нет
321,rus,Нет,Женщина,32 - 36,7 - 10,Проектный менеджмент,Junior,Другое,Алматы,Только иностранная компания (в Казахстане),"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Нет
322,rus,Нет,Мужчина,22 - 26,7 - 10,Frontend разработка,Senior,Телекоммуникации,Алматы,Не вижу разницы,"Официальный сайт компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании",4,Да
323,rus,Нет,Мужчина,22 - 26,Менее 2 лет,Backend разработка,Junior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Официальный сайт компании, Впечатление от общения с HR или ИТ-рекрутером компании, Рейтинги",4,Нет
324,rus,Нет,Женщина,27 - 31,3 - 6,ИТ безопасность,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рейтинги, Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",5,Нет
325,rus,Нет,Мужчина,22 - 26,Менее 2 лет,Backend разработка,Junior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании",5,Да
326,rus,Нет,Женщина,37 - 41,Более 20 лет,Data Science | Аналитик данных,Senior,Другое,Атырау,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Впечатление от общения с HR или ИТ-рекрутером компании, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
327,rus,Нет,Женщина,Старше 46,Более 20 лет,Аналитика (бизнес аналитик / системный аналитик),Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Только казахстанская компания,"Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
328,rus,Нет,Мужчина,22 - 26,3 - 6,QA тестирование,Middle,E-commerce | Логистика,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги, Реклама компании на профессиональных мероприятиях и митапах",4,Да
329,rus,Нет,Мужчина,32 - 36,15 - 19,Аналитика (бизнес аналитик / системный аналитик),Senior,ИТ продуктовая компания,Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Рейтинги",5,Да
330,kaz,Нет,Женщина,22 - 26,3 - 6,QA тестирование,Middle,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рейтинги, Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании",5,Да
331,rus,Нет,Мужчина,37 - 41,3 - 6,Проектный менеджмент,Middle,ИТ продуктовая компания,Астана,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании",4,Нет
332,rus,Нет,Женщина,42 - 46,3 - 6,Аналитика (бизнес аналитик / системный аналитик),Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Личный бренд основателя или руководителя компании, Рейтинги, Рекомендации и отзывы сотрудников (нынешних или бывших)",3,Да
333,rus,Да,Мужчина,22 - 26,7 - 10,Backend разработка,Tribe Leader,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Личный опыт использования цифрового продукта или услуги компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Нет
334,rus,Да,Мужчина,32 - 36,11 - 14,Data Science | Аналитик данных,Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании",5,Нет
335,rus,Нет,Мужчина,32 - 36,11 - 14,Data Science | Аналитик данных,Tribe Leader,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Рекомендации и отзывы сотрудников (нынешних или бывших), Впечатление от общения с HR или ИТ-рекрутером компании, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",3,Да
336,rus,Нет,Мужчина,37 - 41,15 - 19,Data Science | Аналитик данных,Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Личный бренд основателя или руководителя компании, Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании",5,Да
337,rus,Нет,Женщина,27 - 31,3 - 6,Маркетинг | SMM | SEO,Team Lead,Телекоммуникации,Астана,Только иностранная компания (в Казахстане),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рейтинги, Личный бренд основателя или руководителя компании",5,Да
338,rus,Нет,Женщина,27 - 31,7 - 10,Аналитика (бизнес аналитик / системный аналитик),Senior,Финансовый сектор (банк / брокер / страховая компания),Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Рекомендации и отзывы сотрудников (нынешних или бывших), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Впечатление от общения с HR или ИТ-рекрутером компании",5,Да
339,kaz,Да,Мужчина,32 - 36,7 - 10,Аналитика (бизнес аналитик / системный аналитик),Team Lead,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Впечатление от общения с HR или ИТ-рекрутером компании, Рейтинги, Репутация компании на рынке (обсуждение в чатах, пабликах, каналах)",1,-
340,rus,Нет,Женщина,22 - 26,Менее 2 лет,Backend разработка,Junior,Другое,Алматы,Не вижу разницы,"Рейтинги, Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Рекомендации и отзывы сотрудников (нынешних или бывших)",5,Нет
341,rus,Нет,Мужчина,22 - 26,3 - 6,Backend разработка,Middle,E-commerce | Логистика,Алматы,Хочу работать только на иностранную компанию (удаленно из Казахстана),"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Рекомендации и отзывы сотрудников (нынешних или бывших), Личный опыт использования цифрового продукта или услуги компании",4,Нет
342,rus,Нет,Женщина,Старше 46,7 - 10,Высший менеджмент (CEO/CIO/CTO/CMO/CPO/CISO/CTIO/CAIO/CDO),C-level (CEO + CEO-1),Fintech,Алматы,Не вижу разницы,"Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный бренд основателя или руководителя компании, Рекомендации и отзывы сотрудников (нынешних или бывших)",4,Нет
343,rus,Нет,Мужчина,27 - 31,3 - 6,AI | ML | VR/AR,C-level,Финансовый сектор (банк / брокер / страховая компания),Алматы,Не вижу разницы,"Корпоративные профили на специализированных платформах (LinkedIn, hh.kz и пр.), Репутация компании на рынке (обсуждение в чатах, пабликах, каналах), Личный опыт использования цифрового продукта или услуги компании",5,Нет
